M,"2-Headed Baby",http://harrypotter.wikia.com/wiki/2-Headed_Baby","The 2-Headed Baby was a name given to a set of ischiopagous conjoined twins. They were part of...","null"
M,"Astrix Alixan",http://harrypotter.wikia.com/wiki/Astrix_Alixan","Astrix Alixan (b. 1670s) was a Gryffindor student at Hogwarts School of Witchcraft and Wizardry...","https://vignette2.wikia.nocookie.net/harrypotter/images/f/f7/Gryffindor_Captains_Plaque.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/1115/window-height/1115?cb=20090904233239"
M,"Omar Abasi",http://harrypotter.wikia.com/wiki/Omar_Abasi","Omar Abasi worked as a healer at St Mungo's Hospital for Magical Maladies and Injuries, working...","https://vignette1.wikia.nocookie.net/harrypotter/images/e/e9/Omar_Abasi.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/326/window-height/326?cb=20161027051954"
M,"Roland Abberley",http://harrypotter.wikia.com/wiki/Roland_Abberley","Roland Abberley was a Ravenclaw student at Hogwarts School of Witchcraft and Wizardry in the...","null"
M,"Theophilus Abbot",http://harrypotter.wikia.com/wiki/Theophilus_Abbot","Theophilus Abbot was an American wizard and historian. He studied No-Maj families which...","null"
M,"Giffard Abbott",http://harrypotter.wikia.com/wiki/Giffard_Abbott","Giffard Abbott was a wizard. There are portraits of him hanging in Hogwarts Castle. He had a pet...","https://vignette1.wikia.nocookie.net/harrypotter/images/f/f1/GiffardAbbott2.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/575/window-height/575?cb=20141127213444"
M,"Euan Abercrombie",http://harrypotter.wikia.com/wiki/Euan_Abercrombie","Euan Abercrombie began attending Hogwarts School of Witchcraft and Wizardry in 1995 when Harry...","null"
M,"Abernathy",http://harrypotter.wikia.com/wiki/Abernathy","Abernathy was an American wizard that worked at the Magical Congress of the United States of...","https://vignette2.wikia.nocookie.net/harrypotter/images/f/f5/Abernathy_FB1.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/435/window-height/435?cb=20170226121733"
M,"Abraham",http://harrypotter.wikia.com/wiki/Abraham","Abraham was the first of the three Patriarchs of the Bible. According to the Biblical account...","https://vignette2.wikia.nocookie.net/harrypotter/images/b/b4/ScreamingFaceBook.jpg/revision/latest/window-crop/width/200/x-offset/307/y-offset/0/window-width/525/window-height/524?cb=20091001164408"
M,"Enoch Acidus",http://harrypotter.wikia.com/wiki/Enoch_Acidus","Enoch Acidus was an American wizarding criminal who operated in the 1920s. In 1926, the Magical...","null"
M,"Stewart Ackerley",http://harrypotter.wikia.com/wiki/Stewart_Ackerley","Stewart Ackerley (born c. 1982-1983) was a wizard who began attending Hogwarts School of...","null"
M,"Actor who played Crapaud",http://harrypotter.wikia.com/wiki/Actor_who_played_Crapaud","This individual was an actor who played the part of Crapaud in a disastrous performance of...","https://vignette3.wikia.nocookie.net/harrypotter/images/b/be/Crapaud.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/281/window-height/281?cb=20121122210429"
M,"Actor who played Grenouille",http://harrypotter.wikia.com/wiki/Actor_who_played_Grenouille","This individual was an actor who played the part of Grenouille in a disastrous performance of...","https://vignette1.wikia.nocookie.net/harrypotter/images/2/24/Grenouille.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/202/window-height/202?cb=20121122214023"
M,"Adrian",http://harrypotter.wikia.com/wiki/Adrian","Adrian (b. 1959 or 1960) was a wizard who worked as a photographer. During his school years at...","https://vignette2.wikia.nocookie.net/harrypotter/images/5/56/Adrian_1.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/317/window-height/317?cb=20100111192118"
